Longitude,Latitude,Average Time to Spend,Landamrk
76.275140,9.990688,2,Mangalavanam Bird Sanctuary
76.264750,9.960591,1,Mattancherry Palace
76.267070,9.985700,1.5,Bolgatty Palace and Island Resort
76.242841,9.965472,0.5,Santa Cruz Cathedral Basilica Fort Kochi
76.282248,9.968826,0.5,Ernakulam siva Temple
76.275029,9.980605,1.5,Marine Drive Kochi
76.244751,9.959746,1,Indian Naval Maritime Museum
76.363969,9.952907,2,Hill Palace
76.391157,9.933408,1,Chottanika Temple
76.239860,9.962632,1,Bishops House
76.392713,10.026197,6,Wonderla
76.307977,10.027183,3,Lulu Mall
76.172251,10.163153,3,Cherai Beach
76.244270,9.967623,4,Fort Kochi
76.311806,10.014687,1.5,Oberon Mall
76.316535,9.977960,1,Gold souke
76.314764,10.038267,1,Museum Of Kerala History
76.279345,9.971657,2,Subhash Bose Park
76.298996,9.933338,0.5,Kerala Folklore Museum
76.249988,9.990090,1,Basilica of Our Lady of Ransom
76.241184,9.967628,1.5,Bastion Bunglow
76.242348,9.969805,1,Chinese Fishing Nets
76.329478,10.035800,1,Thrikkakkara Vamana Moorthy Temple
76.240129,9.962388,1.5,Indo Portuguese Museum
76.259413,9.957753,1,Paradesi Jewish Synagogue
76.240910,9.966783,0.5,St. Francis CSI Church
